127.0.0.1 - - [20/Dec/2021:21:05:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:39 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 105689
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:39 +0900] "GET /BBS/script/map.js HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:39 +0900] "GET /BBS/script/script.js HTTP/1.1" 200 6958
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:39 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:41 +0900] "GET /BBS/execute.jsp?process=getCardList HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:41 +0900] "GET /BBS/execute.jsp?iftmSeq=0&process=getRegionList HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:41 +0900] "GET /BBS/execute.jsp?process=getRecommendList&ifmbId=guest HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:41 +0900] "GET /BBS/images/no_img.jpg HTTP/1.1" 200 8406
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:41 +0900] "GET /BBS/images/image-20211214220044-1.jpeg HTTP/1.1" 200 10995
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:41 +0900] "GET /BBS/images/image-20211214214320-1.jpeg HTTP/1.1" 200 9816
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:41 +0900] "GET /BBS/images/image-20211109190947-2.jpeg HTTP/1.1" 200 10984
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:41 +0900] "GET /BBS/images/image-20211214230924-1.jpeg HTTP/1.1" 200 10288
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:41 +0900] "GET /BBS/images/image-20211109190934-1.jpeg HTTP/1.1" 200 11424
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:05:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:06:28 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 105689
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:06:28 +0900] "GET /BBS/execute.jsp?process=getCardList HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:06:28 +0900] "GET /BBS/execute.jsp?iftmSeq=0&process=getRegionList HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:06:28 +0900] "GET /BBS/execute.jsp?process=getRecommendList&ifmbId=guest HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:27:57 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:27:59 +0900] "POST /BBS/execute.jsp?process=login HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:00 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 105775
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:00 +0900] "GET /BBS/execute.jsp?process=getCardList HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:00 +0900] "GET /BBS/execute.jsp?iftmSeq=0&process=getRegionList HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:00 +0900] "GET /BBS/execute.jsp?process=getRecommendList&ifmbId=test1 HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/team.jsp HTTP/1.1" 200 106548
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/externalLib/jqgrid/js/minified/jquery.jqGrid.min.js HTTP/1.1" 200 266441
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/externalLib/jqgrid/css/ui.jqgrid.css HTTP/1.1" 200 12894
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/externalLib/jqgrid/js/i18n/grid.locale-kr.js HTTP/1.1" 200 4558
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/execute.jsp?iftmSeq=1&category=&keyword=&process=getSearchList HTTP/1.1" 200 3655
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/execute.jsp?iftmSeq=1&process=getImageList HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/execute.jsp?iftmSeq=1&process=getRegionList HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/images/%EB%B3%B4%EB%8F%84%EB%B8%94%EB%9F%AD33.png HTTP/1.1" 200 22634
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/images/cat1.jpg HTTP/1.1" 200 452631
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/images/image-20211129153407-1.jpeg HTTP/1.1" 200 9215
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/images/cat.jpg HTTP/1.1" 200 452631
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:03 +0900] "GET /BBS/images/%EC%A7%80%EC%9D%B4%EC%9E%89.gif HTTP/1.1" 200 4767928
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:58 +0900] "GET /BBS/team.jsp HTTP/1.1" 200 106548
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:58 +0900] "GET /BBS/execute.jsp?iftmSeq=1&category=&keyword=&process=getSearchList HTTP/1.1" 200 3655
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:58 +0900] "GET /BBS/execute.jsp?iftmSeq=1&process=getImageList HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:28:58 +0900] "GET /BBS/execute.jsp?iftmSeq=1&process=getRegionList HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:31:56 +0900] "GET /BBS/team.jsp HTTP/1.1" 200 106548
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:31:56 +0900] "GET /BBS/execute.jsp?iftmSeq=1&category=&keyword=&process=getSearchList HTTP/1.1" 200 3655
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:31:56 +0900] "GET /BBS/execute.jsp?iftmSeq=1&process=getImageList HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:31:56 +0900] "GET /BBS/execute.jsp?iftmSeq=1&process=getRegionList HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:31:57 +0900] "GET /BBS/team.jsp HTTP/1.1" 200 106548
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:31:57 +0900] "GET /BBS/execute.jsp?iftmSeq=1&category=&keyword=&process=getSearchList HTTP/1.1" 200 3655
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:31:57 +0900] "GET /BBS/execute.jsp?iftmSeq=1&process=getImageList HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:31:57 +0900] "GET /BBS/execute.jsp?iftmSeq=1&process=getRegionList HTTP/1.1" 200 622
